
[MeshData]

UVêî : 1188

UVî‘çÜ0 : { 0.163101, -0.364505 }
UVî‘çÜ506 : { 0.0532077, -0.337895 }
UVî‘çÜ507 : { 0.0651786, -0.309598 }
UVî‘çÜ508 : { 0.0479864, -0.312237 }
UVî‘çÜ509 : { 0.0646189, -0.287915 }
UVî‘çÜ510 : { 0.0590041, -0.239671 }
UVî‘çÜ511 : { 0.0339565, -0.272287 }
UVî‘çÜ512 : { 0.0429056, -0.238961 }
UVî‘çÜ513 : { 0.382951, -0.370378 }
UVî‘çÜ514 : { 0.354984, -0.367872 }
UVî‘çÜ515 : { 0.377145, -0.393071 }
UVî‘çÜ516 : { 0.519819, -0.342391 }
UVî‘çÜ517 : { 0.559826, -0.336683 }
UVî‘çÜ518 : { 0.519805, -0.295517 }
UVî‘çÜ519 : { 0.0590041, -0.239671 }
UVî‘çÜ520 : { 0.0711469, -0.21243 }
UVî‘çÜ521 : { 0.0429056, -0.238961 }
UVî‘çÜ522 : { 0.0364926, -0.340812 }
UVî‘çÜ523 : { 0.0307944, -0.314875 }
UVî‘çÜ524 : { 0.0202717, -0.342039 }
UVî‘çÜ525 : { 0.327445, -0.365965 }
UVî‘çÜ526 : { 0.354984, -0.367872 }
UVî‘çÜ527 : { 0.333621, -0.338297 }
UVî‘çÜ528 : { 0.382951, -0.370378 }
UVî‘çÜ529 : { 0.418562, -0.393071 }
UVî‘çÜ530 : { 0.419901, -0.36461 }
UVî‘çÜ531 : { 0.418562, -0.393071 }
UVî‘çÜ532 : { 0.382951, -0.370378 }
UVî‘çÜ533 : { 0.377145, -0.393071 }
UVî‘çÜ534 : { 0.0532077, -0.337895 }
UVî‘çÜ535 : { 0.0599609, -0.372932 }
UVî‘çÜ536 : { 0.0699231, -0.334978 }
UVî‘çÜ537 : { 0.0467663, -0.393071 }
UVî‘çÜ538 : { 0.0601977, -0.393071 }
UVî‘çÜ539 : { 0.0436731, -0.376081 }
UVî‘çÜ540 : { 0.0532077, -0.337895 }
UVî‘çÜ541 : { 0.0651786, -0.309598 }
UVî‘çÜ542 : { 0.0479864, -0.312237 }
UVî‘çÜ543 : { 0.0646189, -0.287915 }
UVî‘çÜ544 : { 0.0479864, -0.312237 }
UVî‘çÜ545 : { 0.0651786, -0.309598 }
UVî‘çÜ546 : { 0.0429056, -0.238961 }
UVî‘çÜ547 : { 0.0339565, -0.272287 }
UVî‘çÜ548 : { 0.0590041, -0.239671 }
UVî‘çÜ549 : { 0.325818, -0.393071 }
UVî‘çÜ550 : { 0.351113, -0.393071 }
UVî‘çÜ551 : { 0.327445, -0.365965 }
UVî‘çÜ552 : { 0.558343, -0.393071 }
UVî‘çÜ553 : { 0.559826, -0.336683 }
UVî‘çÜ554 : { 0.525486, -0.393071 }
UVî‘çÜ555 : { 0.201295, -0.337122 }
UVî‘çÜ556 : { 0.16209, -0.332123 }
UVî‘çÜ557 : { 0.201119, -0.364781 }
UVî‘çÜ558 : { 0.16209, -0.332123 }
UVî‘çÜ559 : { 0.201295, -0.337122 }
UVî‘çÜ560 : { 0.165399, -0.306381 }
UVî‘çÜ561 : { 0.0663998, -0.268296 }
UVî‘çÜ562 : { 0.0480236, -0.289672 }
UVî‘çÜ563 : { 0.0646189, -0.287915 }
UVî‘çÜ564 : { 0.0529737, -0.170306 }
UVî‘çÜ565 : { 0.0790461, -0.16884 }
UVî‘çÜ566 : { 0.0762345, -0.144699 }
UVî‘çÜ567 : { 0.259716, -0.312556 }
UVî‘çÜ568 : { 0.211044, -0.2863 }
UVî‘çÜ569 : { 0.203538, -0.308486 }
UVî‘çÜ570 : { 0.333621, -0.338297 }
UVî‘çÜ571 : { 0.296919, -0.330414 }
UVî‘çÜ572 : { 0.295187, -0.343862 }
UVî‘çÜ573 : { 0.290976, -0.393071 }
UVî‘çÜ574 : { 0.291029, -0.365656 }
UVî‘çÜ575 : { 0.25639, -0.393071 }
UVî‘çÜ576 : { 0.519819, -0.342391 }
UVî‘çÜ577 : { 0.471852, -0.352948 }
UVî‘çÜ578 : { 0.525486, -0.393071 }
UVî‘çÜ579 : { 0.327445, -0.365965 }
UVî‘çÜ580 : { 0.295187, -0.343862 }
UVî‘çÜ581 : { 0.291029, -0.365656 }
UVî‘çÜ582 : { 0.295187, -0.343862 }
UVî‘çÜ583 : { 0.327445, -0.365965 }
UVî‘çÜ584 : { 0.333621, -0.338297 }
UVî‘çÜ585 : { 0.257704, -0.339598 }
UVî‘çÜ586 : { 0.291029, -0.365656 }
UVî‘çÜ587 : { 0.295187, -0.343862 }
UVî‘çÜ588 : { 0.0202717, -0.274697 }
UVî‘çÜ589 : { 0.0202717, -0.293601 }
UVî‘çÜ590 : { 0.0339565, -0.272287 }
UVî‘çÜ591 : { 0.165399, -0.306381 }
UVî‘çÜ592 : { 0.136884, -0.304535 }
UVî‘çÜ593 : { 0.16209, -0.332123 }
UVî‘çÜ594 : { 0.0479864, -0.312237 }
UVî‘çÜ595 : { 0.0480236, -0.289672 }
UVî‘çÜ596 : { 0.0307944, -0.314875 }
UVî‘çÜ597 : { 0.0364926, -0.340812 }
UVî‘çÜ598 : { 0.0479864, -0.312237 }
UVî‘çÜ599 : { 0.0307944, -0.314875 }
UVî‘çÜ600 : { 0.074223, -0.109438 }
UVî‘çÜ601 : { 0.0542658, -0.105951 }
UVî‘çÜ602 : { 0.0762345, -0.144699 }
UVî‘çÜ603 : { 0.109662, -0.306005 }
UVî‘çÜ604 : { 0.0843418, -0.286437 }
UVî‘çÜ605 : { 0.0841918, -0.308182 }
UVî‘çÜ606 : { 0.325818, -0.393071 }
UVî‘çÜ607 : { 0.291029, -0.365656 }
UVî‘çÜ608 : { 0.290976, -0.393071 }
UVî‘çÜ609 : { 0.165399, -0.306381 }
UVî‘çÜ610 : { 0.141934, -0.279683 }
UVî‘çÜ611 : { 0.136884, -0.304535 }
UVî‘çÜ612 : { 0.559826, -0.336683 }
UVî‘çÜ613 : { 0.558343, -0.393071 }
UVî‘çÜ614 : { 0.588105, -0.334916 }
UVî‘çÜ615 : { 0.257704, -0.339598 }
UVî‘çÜ616 : { 0.296919, -0.330414 }
UVî‘çÜ617 : { 0.259716, -0.312556 }
UVî‘çÜ618 : { 0.200823, -0.393071 }
UVî‘çÜ619 : { 0.25639, -0.393071 }
UVî‘çÜ620 : { 0.201119, -0.364781 }
UVî‘çÜ621 : { 0.0542658, -0.105951 }
UVî‘çÜ622 : { 0.0744889, -0.0747739 }
UVî‘çÜ623 : { 0.0568805, -0.0793378 }
UVî‘çÜ624 : { 0.0202717, -0.293601 }
UVî‘çÜ625 : { 0.0202717, -0.31782 }
UVî‘çÜ626 : { 0.0307944, -0.314875 }
UVî‘çÜ627 : { 0.134473, -0.328522 }
UVî‘çÜ628 : { 0.163101, -0.364505 }
UVî‘çÜ629 : { 0.16209, -0.332123 }
UVî‘çÜ630 : { 0.0680298, -0.196655 }
UVî‘çÜ631 : { 0.0604838, -0.18695 }
UVî‘çÜ632 : { 0.0548434, -0.21214 }
UVî‘çÜ633 : { 0.164302, -0.393071 }
UVî‘çÜ634 : { 0.200823, -0.393071 }
UVî‘çÜ635 : { 0.163101, -0.364505 }
UVî‘çÜ636 : { 0.0542658, -0.105951 }
UVî‘çÜ637 : { 0.0202717, -0.107251 }
UVî‘çÜ638 : { 0.0202717, -0.140866 }
UVî‘çÜ639 : { 0.134473, -0.328522 }
UVî‘çÜ640 : { 0.114056, -0.330903 }
UVî‘çÜ641 : { 0.128092, -0.362624 }
UVî‘çÜ642 : { 0.201295, -0.337122 }
UVî‘çÜ643 : { 0.257704, -0.339598 }
UVî‘çÜ644 : { 0.203538, -0.308486 }
UVî‘çÜ645 : { 0.0699231, -0.334978 }
UVî‘çÜ646 : { 0.0841918, -0.308182 }
UVî‘çÜ647 : { 0.0651786, -0.309598 }
UVî‘çÜ648 : { 0.0436731, -0.376081 }
UVî‘çÜ649 : { 0.0364926, -0.340812 }
UVî‘çÜ650 : { 0.0202717, -0.377482 }
UVî‘çÜ651 : { 0.0548434, -0.21214 }
UVî‘çÜ652 : { 0.0440887, -0.189598 }
UVî‘çÜ653 : { 0.0202717, -0.210531 }
UVî‘çÜ654 : { 0.0202717, -0.168491 }
UVî‘çÜ655 : { 0.0440887, -0.189598 }
UVî‘çÜ656 : { 0.0529737, -0.170306 }
UVî‘çÜ657 : { 0.0900383, -0.333458 }
UVî‘çÜ658 : { 0.0841918, -0.308182 }
UVî‘çÜ659 : { 0.0699231, -0.334978 }
UVî‘çÜ660 : { 0.0680298, -0.196655 }
UVî‘çÜ661 : { 0.0874504, -0.21272 }
UVî‘çÜ662 : { 0.0969486, -0.198148 }
UVî‘çÜ663 : { 0.0307944, -0.314875 }
UVî‘çÜ664 : { 0.0202717, -0.31782 }
UVî‘çÜ665 : { 0.0202717, -0.342039 }
UVî‘çÜ666 : { 0.0307944, -0.314875 }
UVî‘çÜ667 : { 0.0480236, -0.289672 }
UVî‘çÜ668 : { 0.0314284, -0.29143 }
UVî‘çÜ669 : { 0.134473, -0.328522 }
UVî‘çÜ670 : { 0.16209, -0.332123 }
UVî‘çÜ671 : { 0.136884, -0.304535 }
UVî‘çÜ672 : { 0.14388, -0.261755 }
UVî‘çÜ673 : { 0.12098, -0.241198 }
UVî‘çÜ674 : { 0.113018, -0.265731 }
UVî‘çÜ675 : { 0.0339565, -0.272287 }
UVî‘çÜ676 : { 0.0202717, -0.293601 }
UVî‘çÜ677 : { 0.0314284, -0.29143 }
UVî‘çÜ678 : { 0.14388, -0.261755 }
UVî‘çÜ679 : { 0.173624, -0.261853 }
UVî‘çÜ680 : { 0.148, -0.238754 }
UVî‘çÜ681 : { 0.469386, -0.393071 }
UVî‘çÜ682 : { 0.525486, -0.393071 }
UVî‘çÜ683 : { 0.471852, -0.352948 }
UVî‘çÜ684 : { 0.25639, -0.393071 }
UVî‘çÜ685 : { 0.291029, -0.365656 }
UVî‘çÜ686 : { 0.25601, -0.36523 }
UVî‘çÜ687 : { 0.327445, -0.365965 }
UVî‘çÜ688 : { 0.351113, -0.393071 }
UVî‘çÜ689 : { 0.354984, -0.367872 }
UVî‘çÜ690 : { 0.201119, -0.364781 }
UVî‘çÜ691 : { 0.163101, -0.364505 }
UVî‘çÜ692 : { 0.200823, -0.393071 }
UVî‘çÜ693 : { 0.25601, -0.36523 }
UVî‘çÜ694 : { 0.201119, -0.364781 }
UVî‘çÜ695 : { 0.25639, -0.393071 }
UVî‘çÜ696 : { 0.0699231, -0.334978 }
UVî‘çÜ697 : { 0.0599609, -0.372932 }
UVî‘çÜ698 : { 0.0762487, -0.369782 }
UVî‘çÜ699 : { 0.295187, -0.343862 }
UVî‘çÜ700 : { 0.296919, -0.330414 }
UVî‘çÜ701 : { 0.257704, -0.339598 }
UVî‘çÜ702 : { 0.141934, -0.279683 }
UVî‘çÜ703 : { 0.170314, -0.281262 }
UVî‘çÜ704 : { 0.14388, -0.261755 }
UVî‘çÜ705 : { 0.111337, -0.283749 }
UVî‘çÜ706 : { 0.0866655, -0.267284 }
UVî‘çÜ707 : { 0.0843418, -0.286437 }
UVî‘çÜ708 : { 0.333621, -0.338297 }
UVî‘çÜ709 : { 0.354984, -0.367872 }
UVî‘çÜ710 : { 0.3614, -0.337626 }
UVî‘çÜ711 : { 0.519805, -0.295517 }
UVî‘çÜ712 : { 0.559826, -0.336683 }
UVî‘çÜ713 : { 0.56102, -0.292738 }
UVî‘çÜ714 : { 0.165399, -0.306381 }
UVî‘çÜ715 : { 0.203538, -0.308486 }
UVî‘çÜ716 : { 0.170314, -0.281262 }
UVî‘çÜ717 : { 0.377145, -0.393071 }
UVî‘çÜ718 : { 0.354984, -0.367872 }
UVî‘çÜ719 : { 0.351113, -0.393071 }
UVî‘çÜ720 : { 0.12098, -0.241198 }
UVî‘çÜ721 : { 0.101869, -0.223373 }
UVî‘çÜ722 : { 0.0932115, -0.240384 }
UVî‘çÜ723 : { 0.0582816, -0.0145478 }
UVî‘çÜ724 : { 0.0601163, -0.03992 }
UVî‘çÜ725 : { 0.0868987, -0.0135205 }
UVî‘çÜ726 : { 0.0568805, -0.0793378 }
UVî‘çÜ727 : { 0.0601163, -0.03992 }
UVî‘çÜ728 : { 0.0202717, -0.0818478 }
UVî‘çÜ729 : { 0.113018, -0.265731 }
UVî‘çÜ730 : { 0.0932115, -0.240384 }
UVî‘çÜ731 : { 0.0866655, -0.267284 }
UVî‘çÜ732 : { 0.173624, -0.261853 }
UVî‘çÜ733 : { 0.14388, -0.261755 }
UVî‘çÜ734 : { 0.170314, -0.281262 }
UVî‘çÜ735 : { 0.585109, -0.393071 }
UVî‘çÜ736 : { 0.588105, -0.334916 }
UVî‘çÜ737 : { 0.558343, -0.393071 }
UVî‘çÜ738 : { 0.418562, -0.393071 }
UVî‘çÜ739 : { 0.469386, -0.393071 }
UVî‘çÜ740 : { 0.419901, -0.36461 }
UVî‘çÜ741 : { 0.588105, -0.334916 }
UVî‘çÜ742 : { 0.585109, -0.393071 }
UVî‘çÜ743 : { 0.627523, -0.337552 }
UVî‘çÜ744 : { 0.0202717, -0.393071 }
UVî‘çÜ745 : { 0.0436731, -0.376081 }
UVî‘çÜ746 : { 0.0202717, -0.377482 }
UVî‘çÜ747 : { 0.327445, -0.365965 }
UVî‘çÜ748 : { 0.291029, -0.365656 }
UVî‘çÜ749 : { 0.325818, -0.393071 }
UVî‘çÜ750 : { 0.0843418, -0.286437 }
UVî‘çÜ751 : { 0.0866655, -0.267284 }
UVî‘çÜ752 : { 0.0646189, -0.287915 }
UVî‘çÜ753 : { 0.0532684, -0.14248 }
UVî‘çÜ754 : { 0.0529737, -0.170306 }
UVî‘çÜ755 : { 0.0762345, -0.144699 }
UVî‘çÜ756 : { 0.141934, -0.279683 }
UVî‘çÜ757 : { 0.113018, -0.265731 }
UVî‘çÜ758 : { 0.111337, -0.283749 }
UVî‘çÜ759 : { 0.0202717, -0.168491 }
UVî‘çÜ760 : { 0.0532684, -0.14248 }
UVî‘çÜ761 : { 0.0202717, -0.140866 }
UVî‘çÜ762 : { 0.591898, -0.253718 }
UVî‘çÜ763 : { 0.588347, -0.228808 }
UVî‘çÜ764 : { 0.564631, -0.228808 }
UVî‘çÜ765 : { 0.591898, -0.253718 }
UVî‘çÜ766 : { 0.59063, -0.286021 }
UVî‘çÜ767 : { 0.627523, -0.25258 }
UVî‘çÜ768 : { 0.56321, -0.261793 }
UVî‘çÜ769 : { 0.56102, -0.292738 }
UVî‘çÜ770 : { 0.591898, -0.253718 }
UVî‘çÜ771 : { 0.56102, -0.292738 }
UVî‘çÜ772 : { 0.559826, -0.336683 }
UVî‘çÜ773 : { 0.59063, -0.286021 }
UVî‘çÜ774 : { 0.0440887, -0.189598 }
UVî‘çÜ775 : { 0.0604838, -0.18695 }
UVî‘çÜ776 : { 0.0529737, -0.170306 }
UVî‘çÜ777 : { 0.0851736, -0.184393 }
UVî‘çÜ778 : { 0.0604838, -0.18695 }
UVî‘çÜ779 : { 0.0680298, -0.196655 }
UVî‘çÜ780 : { 0.0790461, -0.16884 }
UVî‘çÜ781 : { 0.0604838, -0.18695 }
UVî‘çÜ782 : { 0.0851736, -0.184393 }
UVî‘çÜ783 : { 0.0969486, -0.198148 }
UVî‘çÜ784 : { 0.0851736, -0.184393 }
UVî‘çÜ785 : { 0.0680298, -0.196655 }
UVî‘çÜ786 : { 0.0202717, -0.189068 }
UVî‘çÜ787 : { 0.0440887, -0.189598 }
UVî‘çÜ788 : { 0.0202717, -0.168491 }
UVî‘çÜ789 : { 0.564631, -0.228808 }
UVî‘çÜ790 : { 0.546753, -0.263977 }
UVî‘çÜ791 : { 0.56321, -0.261793 }
UVî‘çÜ792 : { 0.627523, -0.285851 }
UVî‘çÜ793 : { 0.59063, -0.286021 }
UVî‘çÜ794 : { 0.627523, -0.337552 }
UVî‘çÜ795 : { 0.0548434, -0.21214 }
UVî‘çÜ796 : { 0.0604838, -0.18695 }
UVî‘çÜ797 : { 0.0440887, -0.189598 }
UVî‘çÜ798 : { 0.211044, -0.2863 }
UVî‘çÜ799 : { 0.170314, -0.281262 }
UVî‘çÜ800 : { 0.203538, -0.308486 }
UVî‘çÜ801 : { 0.0202717, -0.0424849 }
UVî‘çÜ802 : { 0.0601163, -0.03992 }
UVî‘çÜ803 : { 0.0202717, -0.0143576 }
UVî‘çÜ804 : { 0.0529737, -0.170306 }
UVî‘çÜ805 : { 0.0532684, -0.14248 }
UVî‘çÜ806 : { 0.0202717, -0.168491 }
UVî‘çÜ807 : { 0.12098, -0.241198 }
UVî‘çÜ808 : { 0.128169, -0.22244 }
UVî‘çÜ809 : { 0.101869, -0.223373 }
UVî‘çÜ810 : { 0.134473, -0.328522 }
UVî‘çÜ811 : { 0.109662, -0.306005 }
UVî‘çÜ812 : { 0.114056, -0.330903 }
UVî‘çÜ813 : { 0.111337, -0.283749 }
UVî‘çÜ814 : { 0.0843418, -0.286437 }
UVî‘çÜ815 : { 0.109662, -0.306005 }
UVî‘çÜ816 : { 0.14388, -0.261755 }
UVî‘çÜ817 : { 0.148, -0.238754 }
UVî‘çÜ818 : { 0.12098, -0.241198 }
UVî‘çÜ819 : { 0.0202717, -0.107251 }
UVî‘çÜ820 : { 0.0542658, -0.105951 }
UVî‘çÜ821 : { 0.0202717, -0.0818478 }
UVî‘çÜ822 : { 0.564631, -0.228808 }
UVî‘çÜ823 : { 0.56321, -0.261793 }
UVî‘çÜ824 : { 0.591898, -0.253718 }
UVî‘çÜ825 : { 0.0339565, -0.272287 }
UVî‘çÜ826 : { 0.0590041, -0.239671 }
UVî‘çÜ827 : { 0.050178, -0.270291 }
UVî‘çÜ828 : { 0.128508, -0.393071 }
UVî‘çÜ829 : { 0.164302, -0.393071 }
UVî‘çÜ830 : { 0.128092, -0.362624 }
UVî‘çÜ831 : { 0.0532077, -0.337895 }
UVî‘çÜ832 : { 0.0651786, -0.309598 }
UVî‘çÜ833 : { 0.0699231, -0.334978 }
UVî‘çÜ834 : { 0.136884, -0.304535 }
UVî‘çÜ835 : { 0.111337, -0.283749 }
UVî‘çÜ836 : { 0.109662, -0.306005 }
UVî‘çÜ837 : { 0.0651786, -0.309598 }
UVî‘çÜ838 : { 0.0843418, -0.286437 }
UVî‘çÜ839 : { 0.0841918, -0.308182 }
UVî‘çÜ840 : { 0.0969486, -0.198148 }
UVî‘çÜ841 : { 0.0874504, -0.21272 }
UVî‘çÜ842 : { 0.109326, -0.207979 }
UVî‘çÜ843 : { 0.0646189, -0.287915 }
UVî‘çÜ844 : { 0.0651786, -0.309598 }
UVî‘çÜ845 : { 0.0843418, -0.286437 }
UVî‘çÜ846 : { 0.4734, -0.320518 }
UVî‘çÜ847 : { 0.519819, -0.342391 }
UVî‘çÜ848 : { 0.471852, -0.352948 }
UVî‘çÜ849 : { 0.388273, -0.337481 }
UVî‘çÜ850 : { 0.382951, -0.370378 }
UVî‘çÜ851 : { 0.3614, -0.337626 }
UVî‘çÜ852 : { 0.382951, -0.370378 }
UVî‘çÜ853 : { 0.354984, -0.367872 }
UVî‘çÜ854 : { 0.3614, -0.337626 }
UVî‘çÜ855 : { 0.0532684, -0.14248 }
UVî‘çÜ856 : { 0.0762345, -0.144699 }
UVî‘çÜ857 : { 0.0542658, -0.105951 }
UVî‘çÜ858 : { 0.114056, -0.330903 }
UVî‘çÜ859 : { 0.0841918, -0.308182 }
UVî‘çÜ860 : { 0.0900383, -0.333458 }
UVî‘çÜ861 : { 0.559826, -0.336683 }
UVî‘çÜ862 : { 0.525486, -0.393071 }
UVî‘çÜ863 : { 0.519819, -0.342391 }
UVî‘çÜ864 : { 0.16209, -0.332123 }
UVî‘çÜ865 : { 0.201119, -0.364781 }
UVî‘çÜ866 : { 0.163101, -0.364505 }
UVî‘çÜ867 : { 0.56102, -0.292738 }
UVî‘çÜ868 : { 0.56321, -0.261793 }
UVî‘çÜ869 : { 0.519805, -0.295517 }
UVî‘çÜ870 : { 0.0532077, -0.337895 }
UVî‘çÜ871 : { 0.0479864, -0.312237 }
UVî‘çÜ872 : { 0.0364926, -0.340812 }
UVî‘çÜ873 : { 0.201295, -0.337122 }
UVî‘çÜ874 : { 0.165399, -0.306381 }
UVî‘çÜ875 : { 0.203538, -0.308486 }
UVî‘çÜ876 : { 0.0663998, -0.268296 }
UVî‘çÜ877 : { 0.0480236, -0.289672 }
UVî‘çÜ878 : { 0.050178, -0.270291 }
UVî‘çÜ879 : { 0.0751024, -0.24038 }
UVî‘çÜ880 : { 0.050178, -0.270291 }
UVî‘çÜ881 : { 0.0663998, -0.268296 }
UVî‘çÜ882 : { 0.203538, -0.308486 }
UVî‘çÜ883 : { 0.257704, -0.339598 }
UVî‘çÜ884 : { 0.259716, -0.312556 }
UVî‘çÜ885 : { 0.170314, -0.281262 }
UVî‘çÜ886 : { 0.211044, -0.2863 }
UVî‘çÜ887 : { 0.173624, -0.261853 }
UVî‘çÜ888 : { 0.257704, -0.339598 }
UVî‘çÜ889 : { 0.291029, -0.365656 }
UVî‘çÜ890 : { 0.25601, -0.36523 }
UVî‘çÜ891 : { 0.0529737, -0.170306 }
UVî‘çÜ892 : { 0.0604838, -0.18695 }
UVî‘çÜ893 : { 0.0790461, -0.16884 }
UVî‘çÜ894 : { 0.0364926, -0.340812 }
UVî‘çÜ895 : { 0.0479864, -0.312237 }
UVî‘çÜ896 : { 0.0532077, -0.337895 }
UVî‘çÜ897 : { 0.0542658, -0.105951 }
UVî‘çÜ898 : { 0.0762345, -0.144699 }
UVî‘çÜ899 : { 0.0532684, -0.14248 }
UVî‘çÜ900 : { 0.0874504, -0.21272 }
UVî‘çÜ901 : { 0.0932115, -0.240384 }
UVî‘çÜ902 : { 0.101869, -0.223373 }
UVî‘çÜ903 : { 0.627523, -0.228808 }
UVî‘çÜ904 : { 0.591898, -0.253718 }
UVî‘çÜ905 : { 0.627523, -0.25258 }
UVî‘çÜ906 : { 0.0751024, -0.24038 }
UVî‘çÜ907 : { 0.0866655, -0.267284 }
UVî‘çÜ908 : { 0.0932115, -0.240384 }
UVî‘çÜ909 : { 0.0762487, -0.369782 }
UVî‘çÜ910 : { 0.0900383, -0.333458 }
UVî‘çÜ911 : { 0.0699231, -0.334978 }
UVî‘çÜ912 : { 0.109662, -0.306005 }
UVî‘çÜ913 : { 0.0843418, -0.286437 }
UVî‘çÜ914 : { 0.111337, -0.283749 }
UVî‘çÜ915 : { 0.128508, -0.393071 }
UVî‘çÜ916 : { 0.102083, -0.366517 }
UVî‘çÜ917 : { 0.100962, -0.393071 }
UVî‘çÜ918 : { 0.0874504, -0.21272 }
UVî‘çÜ919 : { 0.0590041, -0.239671 }
UVî‘çÜ920 : { 0.0751024, -0.24038 }
UVî‘çÜ921 : { 0.627523, -0.228808 }
UVî‘çÜ922 : { 0.588347, -0.228808 }
UVî‘çÜ923 : { 0.591898, -0.253718 }
UVî‘çÜ924 : { 0.0542658, -0.105951 }
UVî‘çÜ925 : { 0.0202717, -0.140866 }
UVî‘çÜ926 : { 0.0532684, -0.14248 }
UVî‘çÜ927 : { 0.0202717, -0.377482 }
UVî‘çÜ928 : { 0.0364926, -0.340812 }
UVî‘çÜ929 : { 0.0202717, -0.342039 }
UVî‘çÜ930 : { 0.0663998, -0.268296 }
UVî‘çÜ931 : { 0.0646189, -0.287915 }
UVî‘çÜ932 : { 0.0866655, -0.267284 }
UVî‘çÜ933 : { 0.128169, -0.22244 }
UVî‘çÜ934 : { 0.12098, -0.241198 }
UVî‘çÜ935 : { 0.148, -0.238754 }
UVî‘çÜ936 : { 0.109326, -0.207979 }
UVî‘çÜ937 : { 0.101869, -0.223373 }
UVî‘çÜ938 : { 0.128169, -0.22244 }
UVî‘çÜ939 : { 0.0339565, -0.272287 }
UVî‘çÜ940 : { 0.0429056, -0.238961 }
UVî‘çÜ941 : { 0.0202717, -0.274697 }
UVî‘çÜ942 : { 0.0736289, -0.393071 }
UVî‘çÜ943 : { 0.0599609, -0.372932 }
UVî‘çÜ944 : { 0.0601977, -0.393071 }
UVî‘çÜ945 : { 0.0429056, -0.238961 }
UVî‘çÜ946 : { 0.0548434, -0.21214 }
UVî‘çÜ947 : { 0.0202717, -0.241451 }
UVî‘çÜ948 : { 0.25601, -0.36523 }
UVî‘çÜ949 : { 0.291029, -0.365656 }
UVî‘çÜ950 : { 0.257704, -0.339598 }
UVî‘çÜ951 : { 0.0440887, -0.189598 }
UVî‘çÜ952 : { 0.0202717, -0.189068 }
UVî‘çÜ953 : { 0.0202717, -0.210531 }
UVî‘çÜ954 : { 0.0542658, -0.105951 }
UVî‘çÜ955 : { 0.074223, -0.109438 }
UVî‘çÜ956 : { 0.0744889, -0.0747739 }
UVî‘çÜ957 : { 0.325818, -0.393071 }
UVî‘çÜ958 : { 0.291029, -0.365656 }
UVî‘çÜ959 : { 0.327445, -0.365965 }
UVî‘çÜ960 : { 0.419901, -0.36461 }
UVî‘çÜ961 : { 0.471852, -0.352948 }
UVî‘çÜ962 : { 0.421615, -0.335786 }
UVî‘çÜ963 : { 0.558343, -0.393071 }
UVî‘çÜ964 : { 0.588105, -0.334916 }
UVî‘çÜ965 : { 0.585109, -0.393071 }
UVî‘çÜ966 : { 0.257704, -0.339598 }
UVî‘çÜ967 : { 0.296919, -0.330414 }
UVî‘çÜ968 : { 0.295187, -0.343862 }
UVî‘çÜ969 : { 0.257704, -0.339598 }
UVî‘çÜ970 : { 0.201295, -0.337122 }
UVî‘çÜ971 : { 0.25601, -0.36523 }
UVî‘çÜ972 : { 0.128092, -0.362624 }
UVî‘çÜ973 : { 0.114056, -0.330903 }
UVî‘çÜ974 : { 0.102083, -0.366517 }
UVî‘çÜ975 : { 0.101869, -0.223373 }
UVî‘çÜ976 : { 0.109326, -0.207979 }
UVî‘çÜ977 : { 0.0874504, -0.21272 }
UVî‘çÜ978 : { 0.0874504, -0.21272 }
UVî‘çÜ979 : { 0.0680298, -0.196655 }
UVî‘çÜ980 : { 0.0711469, -0.21243 }
UVî‘çÜ981 : { 0.0823067, -0.0361871 }
UVî‘çÜ982 : { 0.0601163, -0.03992 }
UVî‘çÜ983 : { 0.0744889, -0.0747739 }
UVî‘çÜ984 : { 0.25639, -0.393071 }
UVî‘çÜ985 : { 0.201119, -0.364781 }
UVî‘çÜ986 : { 0.25601, -0.36523 }
UVî‘çÜ987 : { 0.200823, -0.393071 }
UVî‘çÜ988 : { 0.163101, -0.364505 }
UVî‘çÜ989 : { 0.201119, -0.364781 }
UVî‘çÜ990 : { 0.050178, -0.270291 }
UVî‘çÜ991 : { 0.0480236, -0.289672 }
UVî‘çÜ992 : { 0.0663998, -0.268296 }
UVî‘çÜ993 : { 0.203538, -0.308486 }
UVî‘çÜ994 : { 0.165399, -0.306381 }
UVî‘çÜ995 : { 0.201295, -0.337122 }
UVî‘çÜ996 : { 0.0699231, -0.334978 }
UVî‘çÜ997 : { 0.0841918, -0.308182 }
UVî‘çÜ998 : { 0.0900383, -0.333458 }
UVî‘çÜ999 : { 0.0307944, -0.314875 }
UVî‘çÜ1000 : { 0.0480236, -0.289672 }
UVî‘çÜ1001 : { 0.0479864, -0.312237 }
UVî‘çÜ1002 : { 0.16209, -0.332123 }
UVî‘çÜ1003 : { 0.136884, -0.304535 }
UVî‘çÜ1004 : { 0.165399, -0.306381 }
UVî‘çÜ1005 : { 0.0339565, -0.272287 }
UVî‘çÜ1006 : { 0.0202717, -0.293601 }
UVî‘çÜ1007 : { 0.0202717, -0.274697 }
UVî‘çÜ1008 : { 0.327445, -0.365965 }
UVî‘çÜ1009 : { 0.295187, -0.343862 }
UVî‘çÜ1010 : { 0.333621, -0.338297 }
UVî‘çÜ1011 : { 0.295187, -0.343862 }
UVî‘çÜ1012 : { 0.327445, -0.365965 }
